organ_system,grade,rows,strict_irae_rows,primary_compatible_rows,lymphoma_rows,solid_rows,lymphoma_source_blocks,solid_source_blocks,source_blocks,source_tiers,endpoint_layers,source_concentrated,lineage_wide_pooling_status
dermatologic,any grade,31,3,1,2,29,2,13,15,appendix_audited_global_imAE; global_sponsor_identified_sensitivity; pooled_or_manufacturer_label; primary_manuscript_or_appendix; registry_audit; regulatory_trial_table; subgroup_or_posthoc,immune-mediated AE/imAE; registry audit only; regulatory sensitivity; selected AE sensitivity; strict irAE; subgroup/post-hoc sensitivity,False,not estimable: sparse despite compatible endpoint label
dermatologic,grade >=3,11,3,1,2,9,2,6,8,appendix_audited_global_imAE; global_sponsor_identified_sensitivity; pooled_or_manufacturer_label; primary_manuscript_or_appendix; regulatory_trial_table; subgroup_or_posthoc,immune-mediated AE/imAE; regulatory sensitivity; selected AE sensitivity; strict irAE; subgroup/post-hoc sensitivity,False,not estimable: sparse despite compatible endpoint label
endocrine,any grade,77,23,13,7,70,6,14,20,appendix_audited_global_imAE; global_sponsor_identified_sensitivity; pooled_or_manufacturer_label; primary_manuscript_or_appendix; registry_audit; regulatory_trial_table; secondary_report; subgroup_or_posthoc,context only; immune-mediated AE/imAE; registry audit only; regulatory sensitivity; selected AE sensitivity; strict irAE; subgroup/post-hoc sensitivity,False,potentially descriptive only; requires source-level verification before pooling
endocrine,grade >=3,51,21,11,4,47,4,10,14,appendix_audited_global_imAE; global_sponsor_identified_sensitivity; pooled_or_manufacturer_label; primary_manuscript_or_appendix; regulatory_trial_table; subgroup_or_posthoc,context only; immune-mediated AE/imAE; regulatory sensitivity; selected AE sensitivity; strict irAE; subgroup/post-hoc sensitivity,False,potentially descriptive only; requires source-level verification before pooling
gastrointestinal,any grade,25,5,3,1,24,1,14,15,appendix_audited_global_imAE; global_sponsor_identified_sensitivity; pooled_or_manufacturer_label; primary_manuscript_or_appendix; registry_audit; regulatory_trial_table; subgroup_or_posthoc,immune-mediated AE/imAE; registry audit only; regulatory sensitivity; selected AE sensitivity; strict irAE; subgroup/post-hoc sensitivity,True,not estimable for lineage-wide pooling: fewer than two independent source blocks in at least one lineage
gastrointestinal,grade >=3,14,5,3,1,13,1,11,12,appendix_audited_global_imAE; global_sponsor_identified_sensitivity; pooled_or_manufacturer_label; primary_manuscript_or_appendix; regulatory_trial_table; subgroup_or_posthoc,immune-mediated AE/imAE; regulatory sensitivity; selected AE sensitivity; strict irAE; subgroup/post-hoc sensitivity,True,not estimable for lineage-wide pooling: fewer than two independent source blocks in at least one lineage
hepatic,any grade,34,5,3,1,33,1,13,14,appendix_audited_global_imAE; global_sponsor_identified_sensitivity; pooled_or_manufacturer_label; primary_manuscript_or_appendix; registry_audit; regulatory_trial_table; subgroup_or_posthoc,immune-mediated AE/imAE; registry audit only; regulatory sensitivity; selected AE sensitivity; strict irAE; subgroup/post-hoc sensitivity,True,not estimable for lineage-wide pooling: fewer than two independent source blocks in at least one lineage
hepatic,grade >=3,22,5,3,2,20,2,11,13,appendix_audited_global_imAE; global_sponsor_identified_sensitivity; pooled_or_manufacturer_label; primary_manuscript_or_appendix; regulatory_trial_table; subgroup_or_posthoc,immune-mediated AE/imAE; regulatory sensitivity; selected AE sensitivity; strict irAE; subgroup/post-hoc sensitivity,False,potentially descriptive only; requires source-level verification before pooling
infusion/systemic,any grade,4,0,0,0,4,0,2,2,appendix_audited_global_imAE,immune-mediated AE/imAE,True,not estimable: no primary-compatible organ-specific strict irAE rows
infusion/systemic,grade >=3,4,0,0,0,4,0,2,2,appendix_audited_global_imAE,immune-mediated AE/imAE,True,not estimable: no primary-compatible organ-specific strict irAE rows
musculoskeletal,any grade,3,2,1,0,3,0,3,3,appendix_audited_global_imAE; global_sponsor_identified_sensitivity; primary_manuscript_or_appendix,immune-mediated AE/imAE; strict irAE,True,not estimable for lineage-wide pooling: fewer than two independent source blocks in at least one lineage
musculoskeletal,grade >=3,3,2,1,0,3,0,3,3,appendix_audited_global_imAE; global_sponsor_identified_sensitivity; primary_manuscript_or_appendix,immune-mediated AE/imAE; strict irAE,True,not estimable for lineage-wide pooling: fewer than two independent source blocks in at least one lineage
neurologic,any grade,2,1,0,1,1,1,1,2,appendix_audited_global_imAE; primary_manuscript_or_appendix,selected AE sensitivity; strict irAE,True,not estimable: no primary-compatible organ-specific strict irAE rows
neurologic,grade >=3,2,1,0,1,1,1,1,2,appendix_audited_global_imAE; primary_manuscript_or_appendix,selected AE sensitivity; strict irAE,True,not estimable: no primary-compatible organ-specific strict irAE rows
ocular,any grade,2,2,2,0,2,0,1,1,primary_manuscript_or_appendix,strict irAE,True,not estimable for lineage-wide pooling: fewer than two independent source blocks in at least one lineage
ocular,grade >=3,2,2,2,0,2,0,1,1,primary_manuscript_or_appendix,strict irAE,True,not estimable for lineage-wide pooling: fewer than two independent source blocks in at least one lineage
pancreatic,any grade,1,1,0,0,1,0,1,1,appendix_audited_global_imAE,strict irAE,True,not estimable: no primary-compatible organ-specific strict irAE rows
pancreatic,grade >=3,1,1,0,0,1,0,1,1,appendix_audited_global_imAE,strict irAE,True,not estimable: no primary-compatible organ-specific strict irAE rows
pulmonary,any grade,22,6,4,4,18,4,13,17,appendix_audited_global_imAE; global_sponsor_identified_sensitivity; pooled_or_manufacturer_label; primary_manuscript_or_appendix; registry_audit; secondary_report; subgroup_or_posthoc,context only; immune-mediated AE/imAE; registry audit only; regulatory sensitivity; selected AE sensitivity; strict irAE; subgroup/post-hoc sensitivity,False,potentially descriptive only; requires source-level verification before pooling
