study_name,trial_id,tumor_lineage,tumor_type,lymphoma_subtype,regimen,ICI_agent,ICI_class,chemotherapy_context,timing_architecture,steroid_core_regimen_available,endpoint_label_in_source,endpoint_taxonomy,safety_N,events,rate_percent,grade,source_tier,quantitative_role,source_file_or_url,extraction_note,eligibility_for_primary_pooling,reason_excluded_from_primary_pooling
CheckMate 067,,solid,melanoma,,nivolumab,nivolumab,PD-1,monotherapy,no_chemo_context,no,grade 3/4 TRAE,treatment-related AE,313,51,16.3,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1056/NEJMoa1504030,nivolumab arm,yes,
CheckMate 067,,solid,melanoma,,nivolumab plus ipilimumab,nivolumab+ipilimumab,PD-1 plus CTLA-4,dual ICI,no_chemo_context,no,grade 3/4 TRAE,treatment-related AE,313,172,55.0,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1056/NEJMoa1504030,dual ICI arm,yes,
KEYNOTE-006,,solid,melanoma,,pembrolizumab q2w,pembrolizumab,PD-1,monotherapy,no_chemo_context,no,grade 3-5 TRAE,treatment-related AE,279,37,13.3,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1056/NEJMoa1503093,q2w pembrolizumab arm,yes,
KEYNOTE-006,,solid,melanoma,,pembrolizumab q3w,pembrolizumab,PD-1,monotherapy,no_chemo_context,no,grade 3-5 TRAE,treatment-related AE,277,28,10.1,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1056/NEJMoa1503093,q3w pembrolizumab arm,yes,
CheckMate 017,,solid,NSCLC squamous,,nivolumab,nivolumab,PD-1,monotherapy,no_chemo_context,no,grade 3/4 TRAE,treatment-related AE,131,9,7.0,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1056/NEJMoa1504627,nivolumab arm,yes,
CheckMate 057,,solid,NSCLC nonsquamous,,nivolumab,nivolumab,PD-1,monotherapy,no_chemo_context,no,grade 3/4 TRAE,treatment-related AE,287,29,10.0,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1056/NEJMoa1507643,nivolumab arm,yes,
KEYNOTE-024,,solid,NSCLC PD-L1 high,,pembrolizumab,pembrolizumab,PD-1,monotherapy,no_chemo_context,no,grade 3-5 TRAE,treatment-related AE,154,41,26.6,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1056/NEJMoa1606774,pembrolizumab arm,yes,
PACIFIC,,solid,NSCLC stage III,,durvalumab,durvalumab,PD-L1,post-CRT consolidation,post_chemo_or_post_crt,no,grade 3/4 AE any-cause,context only,475,142,29.9,grade >=3/high-grade,trial_arm_summary,context_or_audit_only,10.1056/NEJMoa1709937,durvalumab arm; started 1-42 days after CRT,no,context-only row is not eligible for quantitative pooling
KEYNOTE-189,,solid,NSCLC nonsquamous,,pembrolizumab plus pemetrexed/platinum,pembrolizumab,PD-1,ICI plus chemotherapy,concurrent_chemo,unclear,grade >=3 AE any-cause,context only,405,272,67.2,grade >=3/high-grade,trial_arm_summary,context_or_audit_only,10.1056/NEJMoa1801005,pembrolizumab-chemo arm,no,context-only row is not eligible for quantitative pooling
KEYNOTE-407,,solid,NSCLC squamous,,pembrolizumab plus carboplatin/taxane,pembrolizumab,PD-1,ICI plus chemotherapy,concurrent_chemo,unclear,grade >=3 AE any-cause,context only,278,194,69.8,grade >=3/high-grade,trial_arm_summary,context_or_audit_only,10.1056/NEJMoa1810865,pembrolizumab-chemo arm,no,context-only row is not eligible for quantitative pooling
CheckMate 214,,solid,renal cell carcinoma,,nivolumab plus ipilimumab,nivolumab+ipilimumab,PD-1 plus CTLA-4,dual ICI,no_chemo_context,no,grade 3/4 TRAE,treatment-related AE,547,252,46.0,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1056/NEJMoa1712126,nivolumab-ipilimumab arm,yes,
KEYNOTE-426,,solid,renal cell carcinoma,,pembrolizumab plus axitinib,pembrolizumab,PD-1,ICI plus TKI,no_chemo_context,no,grade >=3 AE any-cause,context only,429,325,75.8,grade >=3/high-grade,trial_arm_summary,context_or_audit_only,10.1056/NEJMoa1816714,pembrolizumab-axitinib arm,no,context-only row is not eligible for quantitative pooling
IMbrave150,,solid,hepatocellular carcinoma,,atezolizumab plus bevacizumab,atezolizumab,PD-L1,ICI plus anti-VEGF,no_chemo_context,no,grade 3/4 AE any-cause,context only,329,186,56.5,grade >=3/high-grade,trial_arm_summary,context_or_audit_only,10.1056/NEJMoa1915745,atezolizumab-bevacizumab arm,no,context-only row is not eligible for quantitative pooling
CheckMate 649,,solid,gastric/GEJ/esophageal adenocarcinoma,,nivolumab plus chemotherapy,nivolumab,PD-1,ICI plus chemotherapy,concurrent_chemo,unclear,grade 3/4 TRAE,treatment-related AE,782,461,59.0,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1016/S0140-6736(21)00797-2,nivolumab-chemo CPS>=5 arm,yes,
KEYNOTE-590,,solid,esophageal cancer,,pembrolizumab plus chemotherapy,pembrolizumab,PD-1,ICI plus chemotherapy,concurrent_chemo,unclear,grade >=3 TRAE,treatment-related AE,370,266,72.0,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1016/S0140-6736(21)01234-4,pembrolizumab-chemo arm,yes,
KEYNOTE-522,,solid,triple-negative breast cancer,,pembrolizumab plus chemotherapy,pembrolizumab,PD-1,ICI plus chemotherapy,concurrent_chemo,unclear,grade >=3 TRAE,treatment-related AE,784,612,78.0,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1056/NEJMoa1910549,pembrolizumab-chemo arm,yes,
KEYNOTE-087,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab,pembrolizumab,PD-1,monotherapy,no_chemo_context,no,grade 3/4 TRAE,treatment-related AE,210,27,12.9,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1182/blood.2022019386,5-year follow-up,yes,
KEYNOTE-204,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab,pembrolizumab,PD-1,monotherapy,no_chemo_context,no,grade 3-5 TRAE pneumonitis,treatment-related AE,148,6,4.0,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1016/S1470-2045(21)00005-X,pneumonitis was most common grade 3-5 TRAE; not total grade 3-5 TRAE,yes,
Nivolumab plus AVD cohort D,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab lead-in then N-AVD,nivolumab,PD-1,ICI lead-in plus chemotherapy,ICI_before_chemo,no,grade 3/4 TRAE,treatment-related AE,51,30,59.0,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1200/JCO.19.00315,mostly neutropenia after chemotherapy; no pneumonitis reported,yes,
Pembrolizumab followed by AVD,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab then AVD,pembrolizumab,PD-1,ICI before chemotherapy,ICI_before_chemo,no,grade >=3 immune-related event,immune-mediated AE/imAE,30,1,3.3,grade >=3/high-grade,trial_arm_summary,sensitivity_endpoint_stratum,10.1182/blood.2020007400,one reversible grade 4 transaminitis,no,endpoint definition is sensitivity imAE/global imAE rather than strict primary layer
Pembrolizumab-GVD,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab plus GVD,pembrolizumab,PD-1,ICI plus chemotherapy,concurrent_chemo,no,grade 3 immune-related event,immune-mediated AE/imAE,39,6,15.4,grade >=3/high-grade,trial_arm_summary,sensitivity_endpoint_stratum,10.1200/JCO.21.01056,"transaminitis n=4, rash n=1, thyroiditis/hyperthyroidism n=1",no,endpoint definition is sensitivity imAE/global imAE rather than strict primary layer
Nivolumab +/- NICE,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab then NICE if needed,nivolumab,PD-1,response-adapted sequential,no_chemo_context,no,grade >=3 possible immune-related AE,immune-mediated AE/imAE,43,2,4.7,grade >=3/high-grade,trial_arm_summary,sensitivity_endpoint_stratum,10.1182/blood.2022015423,"encephalitis n=1, colitis n=1",no,endpoint definition is sensitivity imAE/global imAE rather than strict primary layer
JAVELIN Bladder 100,,solid,urothelial carcinoma,,avelumab plus best supportive care,avelumab,PD-L1,post-chemotherapy maintenance,post_chemo_or_post_crt,no,grade >=3 AE any-cause,context only,344,163,47.4,grade >=3/high-grade,trial_arm_summary,context_or_audit_only,10.1056/NEJMoa2002788,grade >=3 AE 47.4% vs 25.2%; any-grade AE 98.0%,no,context-only row is not eligible for quantitative pooling
EMPOWER-Lung 1,,solid,NSCLC PD-L1 high,,cemiplimab,cemiplimab,PD-1,monotherapy,no_chemo_context,no,grade >=3 TRAE,treatment-related AE,356,50,14.1,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1016/S0140-6736(21)00228-2,initial report; 5-year update reported grade >=3 TRAE 18.3%,yes,
CheckMate 9LA,,solid,NSCLC metastatic,,nivolumab plus ipilimumab plus 2 cycles chemotherapy,nivolumab+ipilimumab,PD-1 plus CTLA-4,dual ICI plus chemotherapy,concurrent_chemo,unclear,grade 3/4 TRAE,treatment-related AE,361,170,47.0,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1016/S1470-2045(20)30641-0,reported grade 3/4 TRAE about 47%-48%,yes,
CheckMate 816,,solid,NSCLC resectable,,nivolumab plus chemotherapy,nivolumab,PD-1,ICI plus chemotherapy,concurrent_chemo,unclear,grade 3/4 TRAE,treatment-related AE,176,59,33.5,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1056/NEJMoa2202170,grade 3/4 TRAE 33.5% vs 36.9%; neoadjuvant short exposure,yes,
KEYNOTE-564,,solid,renal cell carcinoma,,pembrolizumab,pembrolizumab,PD-1,monotherapy,no_chemo_context,no,grade 3-5 AE any-cause,context only,496,161,32.4,grade >=3/high-grade,trial_arm_summary,context_or_audit_only,10.1056/NEJMoa2106391,adjuvant pembrolizumab; any-cause high-grade AE,no,context-only row is not eligible for quantitative pooling
KEYNOTE-775,,solid,endometrial cancer,,pembrolizumab plus lenvatinib,pembrolizumab,PD-1,ICI plus TKI,no_chemo_context,no,grade >=3 AE any-cause,context only,406,361,88.9,grade >=3/high-grade,trial_arm_summary,context_or_audit_only,10.1056/NEJMoa2108330,"high burden largely includes TKI toxicity, especially hypertension and weight loss",no,context-only row is not eligible for quantitative pooling
KEYNOTE-170,,lymphoma,primary mediastinal large B-cell lymphoma,PMBL,pembrolizumab,pembrolizumab,PD-1,monotherapy,no_chemo_context,no,grade 3/4 TRAE,treatment-related AE,53,12,22.6,grade >=3/high-grade,trial_arm_summary,primary_endpoint_stratum,10.1182/blood.2022019340,final analysis; PMBCL is biologically distinct from cHL,yes,
CheckMate 205,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab,,,,,unclear,hypothyroidism/thyroiditis,strict irAE,243,29,12.0,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC6075887/,Most common immune-mediated AEs included hypothyroidism/thyroiditis 12%; all grade 1 or 2.,yes,
CheckMate 205,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab,,,,,unclear,hypothyroidism/thyroiditis,strict irAE,243,0,0.0,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC6075887/,Most common immune-mediated AEs included hypothyroidism/thyroiditis 12%; all grade 1 or 2.,yes,
CheckMate 205,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab,,,,,unclear,rash,selected AE sensitivity,243,22,9.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC6075887/,"Rash 9%, including four grade 3 AEs.",no,selected AE or unspecified immunologic attribution
CheckMate 205,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab,,,,,unclear,rash,selected AE sensitivity,243,4,1.6,grade >=3,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC6075887/,"Rash 9%, including four grade 3 AEs.",no,selected AE or unspecified immunologic attribution
KEYNOTE-087,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab,,,,,unclear,hypothyroidism,strict irAE,210,33,15.7,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC6776792/,"Most commonly reported immune-mediated AEs were hypothyroidism 15.7%, pneumonitis 4.8%, hyperthyroidism 3.8%.",yes,
KEYNOTE-087,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab,,,,,unclear,pneumonitis,strict irAE,210,10,4.8,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC6776792/,"Most commonly reported immune-mediated AEs were hypothyroidism 15.7%, pneumonitis 4.8%, hyperthyroidism 3.8%.",yes,
KEYNOTE-087,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab,,,,,unclear,hyperthyroidism,strict irAE,210,8,3.8,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC6776792/,"Most commonly reported immune-mediated AEs were hypothyroidism 15.7%, pneumonitis 4.8%, hyperthyroidism 3.8%.",yes,
KEYNOTE-204,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab,,,,,unclear,hypothyroidism,context only,148,28,18.9,any grade,secondary_report,context_or_audit_only,https://www.jons-online.com/articles/pembrolizumab-new-standard-of-care-for-relapsed-refractory-classic-hodgkin-lymphoma,Immune-mediated AEs most commonly hypothyroidism 18.9% and pneumonitis 10.8%.,no,context-only row is not eligible for quantitative pooling
KEYNOTE-204,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab,,,,,unclear,pneumonitis,context only,148,16,10.8,any grade,secondary_report,context_or_audit_only,https://ascopost.com/news/march-2021/pembrolizumab-vs-brentuximab-vedotin-in-relapsed-or-refractory-classical-hodgkin-lymphoma/,Any-grade immune-mediated pneumonitis 11%; grade >=3 treatment-related pneumonitis 4%; serious pneumonitis 5%; discontinuation 6%; 15/16 pneumonitis cases required corticosteroids in another report.,no,context-only row is not eligible for quantitative pooling
KEYNOTE-204,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab,,,,,unclear,pneumonitis,context only,148,6,4.0,grade >=3,secondary_report,context_or_audit_only,https://ascopost.com/news/march-2021/pembrolizumab-vs-brentuximab-vedotin-in-relapsed-or-refractory-classical-hodgkin-lymphoma/,Any-grade immune-mediated pneumonitis 11%; grade >=3 treatment-related pneumonitis 4%; serious pneumonitis 5%; discontinuation 6%; 15/16 pneumonitis cases required corticosteroids in another report.,no,context-only row is not eligible for quantitative pooling
Nivolumab plus AVD cohort D,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab lead-in then N-AVD,,,,,unclear,pneumonitis,selected AE sensitivity,51,0,0.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC6879721/,No pneumonitis was reported.,no,selected AE or unspecified immunologic attribution
Nivolumab plus AVD cohort D,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab lead-in then N-AVD,,,,,unclear,pneumonitis,selected AE sensitivity,51,0,0.0,grade >=3,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC6879721/,No pneumonitis was reported.,no,selected AE or unspecified immunologic attribution
Nivolumab plus AVD cohort D,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab lead-in then N-AVD,,,,,unclear,hypothyroidism,selected AE sensitivity,51,8,16.0,any grade,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC6879721/,"Most common endocrine IMAE was hypothyroidism in eight patients (16%), all grade 1 to 2.",no,selected AE or unspecified immunologic attribution
Nivolumab plus AVD cohort D,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab lead-in then N-AVD,,,,,unclear,hypothyroidism,selected AE sensitivity,51,0,0.0,grade >=3,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC6879721/,"Most common endocrine IMAE was hypothyroidism in eight patients (16%), all grade 1 to 2.",no,selected AE or unspecified immunologic attribution
Nivolumab plus AVD cohort D,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab lead-in then N-AVD,,,,,unclear,increased ALT/AST,selected AE sensitivity,51,2,4.0,grade >=3,primary_manuscript_or_appendix,sensitivity_or_audit,https://pmc.ncbi.nlm.nih.gov/articles/PMC6879721/,Grade 3+ nonendocrine IMAEs in two patients with grade 3 increased ALT; one also had grade 3 increased AST.,no,selected AE or unspecified immunologic attribution
Pembrolizumab-GVD,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab plus GVD,,,,,unclear,hyperthyroidism,strict irAE,39,5,12.8,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC10084236/,Immune-related hyperthyroidism n=5; grade 3 hyperthyroidism n=1.,yes,
Pembrolizumab-GVD,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab plus GVD,,,,,unclear,hyperthyroidism,strict irAE,39,1,2.6,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC10084236/,Immune-related hyperthyroidism n=5; grade 3 hyperthyroidism n=1.,yes,
Pembrolizumab-GVD,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab plus GVD,,,,,unclear,transaminitis,strict irAE,39,16,41.0,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC10084236/,Immune-related transaminitis n=16; grade 3 AST/ALT n=4; systemic prednisone for transaminitis n=4 and rash n=1.,yes,
Pembrolizumab-GVD,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab plus GVD,,,,,unclear,transaminitis,strict irAE,39,4,10.3,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC10084236/,Immune-related transaminitis n=16; grade 3 AST/ALT n=4; systemic prednisone for transaminitis n=4 and rash n=1.,yes,
Pembrolizumab-GVD,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab plus GVD,,,,,unclear,rash,strict irAE,39,19,48.7,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC10084236/,Immune-related rash n=19; grade 3 rash n=1; systemic prednisone for grade 3 rash n=1.,yes,
Pembrolizumab-GVD,,lymphoma,classical Hodgkin lymphoma,cHL,pembrolizumab plus GVD,,,,,unclear,rash,strict irAE,39,1,2.6,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC10084236/,Immune-related rash n=19; grade 3 rash n=1; systemic prednisone for grade 3 rash n=1.,yes,
Nivolumab +/- NICE,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab then NICE if needed,,,,,unclear,thyroiditis,strict irAE,43,3,7.0,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC10582531/,"Possible immune-related thyroiditis in 3 patients, all grade 1 to 2.",yes,
Nivolumab +/- NICE,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab then NICE if needed,,,,,unclear,thyroiditis,strict irAE,43,0,0.0,grade >=3,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC10582531/,"Possible immune-related thyroiditis in 3 patients, all grade 1 to 2.",yes,
Nivolumab +/- NICE,,lymphoma,classical Hodgkin lymphoma,cHL,nivolumab then NICE if needed,,,,,unclear,pneumonitis,strict irAE,43,1,2.3,any grade,primary_manuscript_or_appendix,primary_endpoint_stratum,https://pmc.ncbi.nlm.nih.gov/articles/PMC10582531/,Possible immune-related grade 2 pneumonitis in 1 patient.,yes,
